Emotion,Text
neutral,මම අවධානය යොමු කළේ ටොම් ගැන ගොඩක් මම මගේ ආදරණීය බැරැක්ව දැක්කේ නැහැ අනේ නෑ මම දෙකටම ඡන්දය දෙන්න ඕනේ දුප්පත් ජනාධිපතිට ඡන්ද විතරයි තියෙන්නේ
hate,ඔයාලා යන එක ගැන මම කොච්චර උද්යෝගිමත්ද කියලා මම හිතුවා ඒත් ඊට පස්සේ මට තේරුණා ඔයාලා යනවා දකින්න කොච්චර දුකද කියලා
worry,මගේ ශුභවාදී බලාපොරොත්තුව තමයි හැමෝටම හොඳ වේවි කියලා අහලා මට දුකයි
sadness,ෆිලීගේ කටහඬ ඇහෙනවා මම ඒකට ආදරෙයි ම්ම් චීස් ස්ටීක් මගේ පෙම්වතා නැති වුණාට මම නිවාඩුවට ආදරෙයි
happiness,දැන් මට කරන්න බැරි දෙයක්
relief,හහහ අනිත් අය එක්ක ගායනා කළොත් ඒක භයානක නැහැ ඒක වැඩ කරන්න පුළුවන් කියලා මට විශ්වාසයි
sadness,එල්පීත් නෑ
enthusiasm,මම තාම ජිම් එකේ වැඩ කරනවා
sadness,නිදන කාමරේ ගෘහ භාණ්ඩ ඔක්කොම තීන්ත ගාලා ඉවරයි මට තාම මේසය හදන්න වෙනවා නමුත් ඒක මාරුවෙන් පස්සේ වෙයි හ්ම්ම් රස්නෙට යනවා
surprise,මට නරකක් දැනෙනවා දැන් මගේ අම්මා ගැන නරක ආරංචියක් ලැබුණා
hate,මගේ අම්මලා මට ඡන්දෙ දෙන එක නවත්තලා දිනන්නේ නැති එක ගැන තවත් දැනෙන්න සලස්වන්න හදනවා මම ඇඬුවා වගේ
worry,ගෙදර එන්න
fun,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක තමයි අන්තිමේදී බබා තමයි දුක් විඳින්නේ
worry,මම ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට වෛරයක් දැනෙනවා ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක තමයි අන්තිමේදී බබා දුක් විඳින කෙනා
worry,මම දෙයක් කෑවා මම දන්නේ නැහැ ඒක මොකක්ද කියලා මම කෑම ගැන දේවල් කියන්නේ ඇයිමම ගොඩක් මහන්සියි මම හිතන්නේ මට අනිවාර්යයෙන්ම කන් ආසාදනයක් හැදෙයි කියලා මම හිතනවා නින්දට යනවා උපුටා දැක්වීම උපුටා දැක්වීම වරක්
neutral,අනුමාන කරනවා ඒක නම් එපා කෙල්ලේ මම තාමත් ජිම් එකේ ඉන්නේ උදේ පාන්දර වැඩ කරනවා
happiness,මම දැන් ඒ වැඩේ කරනවා
neutral,අද උදේට වැඩ කරනවා
neutral,හහහ ඒක භයානක නැහැ වෙන එකක් නම්
hate,ගෙදරට ආපහු යනවා මොකද මම
sadness,ඒක මෙහෙ නෑ මමයි තාත්තයි බෑග් පැක් කරනකොට දවල් ඉඳන් මට දාඩිය දාල නෑ
worry,තවදුරටත් අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
worry,මට නිදාගන්න බෑ අද මම සෙල්ලම් කරපු බලු පැටියා ගැන මම හිතනවා
hate,ඔව් මගේ කොට්ටය විනිශ්චය කරන්න එපා
worry,ඒක නෑ
sadness,මට ඔයාව හැමදාම ඕන කියලා ඔයා කොහොමද ඒත්තු ගන්නේ මම හැමදාම දුන්න සංඥා මොනවද කියලා මම හිතන්නේ මට තව යාළුවෙක් නැති වුණා කියලා
surprise,මම දකින විට මට වෛර කරනවා ගැබිනි කාන්තාවන් දුම්පානය කරනවා ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක තමයි අන්තිමේදී බබා දුක් විඳින කෙනා
worry,මම හොඳ නම්
neutral,උපායශීලී වැරැද්දක්
sadness,ගෑණු ළමයෙක් දැන් මගේ සිතුවිලි වල ඉන්නවා
hate,මට නිදාගන්න බෑ
neutral,මෙන්න මගේ ශුභවාදී දේවල් හැමෝටම හොඳ වෙයි කියලා අහන්න ලැබීම ගැන මට කණගාටුයි අපේ
hate,මගේ අම්මලා මට ඡන්දය දීම නවත්තලා දිනන්නේ නැති එක ගැන දැනෙන හැඟීම ඇති කරන්න හදනවා මම ඇඬුවා වගේ
worry,ඒක මට කරදරයක්
sadness,මට එයාගේ කොණ්ඩේ හැමෝම කොහොමද කියලා බලන්න ඕනේ
worry,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා විශිෂ්ටයි කියලා මම හිතනවා මම හොඳ නම් විතරයි
empty,ඒක මාව අවුස්සනවා මට එරිකා පස්සෙන් එන්න දෙන්නෙ නෑ
sadness,මට ගිටාර් ගොඩක් ආසයි ඒවා වාදනය කරන්නත් ඒවා සුපිරියටම ඇහෙනවා කියලා මම හිතනවා මම හොඳ නම් විතරයි
worry,මට මෑතකදී ටොන් ගණනක් බර වැඩි වුණා කියලා මගේ යාළුවෙක්ගෙන් මට ආරංචි වුණා ඒ මම කියලා එයා දැනගෙන හිටියේ නැහැ
neutral,ඊළඟට රෑට ඔයාව දැක්කේ නෑ
worry,මට මෑතකදී ටොන් එකක් බර වැඩි වුණා කියලා මගේ අවධානයට ලක් වෙලා තියෙනවා එයා දැනගෙන හිටියේ නැහැ ඒ මම කියලා
sadness,ඊයේ රෑ මට කරන්න බැරි දෙයක්
worry,ම්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊ නරකයි
worry,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා විශිෂ්ටයි මම හොඳ නම්
empty,හේයි ඔයා පොඩි මගුලක් මම ඔයාට කෙටි පණිවිඩයක් යැව්වා
worry,ඒක නෑ
worry,ඒක මට පිස්සු හැදෙනවා එරිකාට පස්සෙන් එන්න දෙන්නෙ නෑ
sadness,මට කේක් කෑල්ල අමතක වුණු නිසා ගෙදර ආපහු යනවා
worry,මට ගොඩක් අවුල්
neutral,කැලි කැලිට ඉන්න බෑ මගේ සති අන්තය සැමරීමට වයින් වීදුරුවක් තියෙනවා කියලා හිතලා වැකා තවමත් හෙට වැඩ කරනවා
sadness,ඇත්තටම නිදිමත නැහැ කම්මැලියි කියන එක තමයි ආයෙත් හරි වචනය වැඩි වැඩ නැහැ
love,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හොඳ නම් ඒවා විශිෂ්ටයි කියලා මම හිතනවා
worry,මෑතකදී මම ටොන් ගණනක් බර වැඩි කර ගත් ඔබේ මිතුරෙකුගෙන් එය මගේ අවධානයට ලක්ව ඇත
sadness,අප් එක එළියට ආවා මට සංදේශය ලැබුණේ නැහැ එය පුදුම සහගතයි
empty,ඒක හරියට තඩ් ගහනවා
neutral,මක්නිසාද යත් එය තවමත් ලැජ්ජාවට පත් වී ඇත
surprise,කාමරකාරයෝ එක්ක චිලින්ගේ වැඩ කරන දවස සොම්බි ක්ලවුන් එනකම් ඉන්න බෑ සති ගානක් යනවා
surprise,ඇඳේ වැතිර ඉන්නවා
sadness,ගැහැණු ළමයෙක් දැන් මගේ සිතුවිලි වල හරිම ලස්සනයි මට දැන් ෆේෂල් එකක් එක්ක නියම දවසක් ගත කරන්න පුළුවන් වුණා
sadness,ඒක හරියට තඩ් තඩ් වගේ
sadness,මම හිතන්නේ සර් එකේ ඒක සිසිල් වෙලා කියලා හහ් ඒක මෙතන නැහැ තාත්තයි මමයි බඩු ගන්නකොට දවල් ඉඳන් මම දාඩිය දානවා නවත්තලා නැහැ
hate,වචන ලිංගිකත්වයට පස්සේ ඒක කවදාවත් පටන් ගත්තේ නෑ
worry,ඇඳේ වැතිර ඉන්නවා ගොඩක් වේලාසනයි
worry,ගර්භනී කාන්තාවන් දුම්පානය කරනවා දකින විට මට වෛර කරනවා ඒක වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක සාද් අවසානයේ බබා දුක් විඳිනවා කියලා මට දුකයි
neutral,ඒගොල්ලෝ කිව්වා මම ඒක කරන්නම් කියලා
worry,ඊයේ රෑ අන්තර්ජාලයක් නැහැ ළඟපාත ගෑස් එකක් අවසානයේ දැවැන්ත පිපිරීමක් ඇති වුණා
neutral,ආහ් මගේ කාමරය වටා පියාසර කරන ලොකු භයානක දෝෂයක්
neutral,මගේ නහය ගැලවිලා ගියා මට ඒක හොයාගන්න බෑ අද ඇම්ස්ටර්ඩෑම් ගිහින් අලුත් එකක් ගන්න ඕන
love,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හොඳ නම් ඒවා විශිෂ්ටයි කියලා මම හිතනවා
neutral,බොරුකියා
neutral,මම දෙමාපිය පාලනය බලාගෙන හිටියා
worry,මට හරිම අපහසුතාවයක් දැනෙනවා තවත් බල්ලෙක් නැහැ
worry,තව පැයක් නිදාගන්න ඕනේ
sadness,මම වෛර කරනවා පිළිකාව මට වෛර කරනවා මට වෛර කරනවා මට වෛර කරනවා
surprise,කාමරකාරයෝ එක්ක චිලින්ගේ වැඩ කරන දවස සොම්බි ක්ලවුන් එනකම් ඉන්න බෑ සති ගානක් යනවා
sadness,නිදන කාමරේ ගෘහ භාණ්ඩ ඔක්කොම තීන්ත ගාලා ඉවරයි මට තාම මේසය හදන්න වෙනවා නමුත් ඒක මාරුවෙන් පස්සේ වෙයි හ්ම්ම් රස්නෙට යනවා
sadness,අපි හැමෝටම දේවල් හොඳ වෙයි
sadness,ගෙදර යන ගමන් බාල වයස්කාර ගැහැණු ළමයින් සමඟ ගනුදෙනුවක් කරනවා කෙගර්ස්ඩෑම් ගැන කතා කරන අතරතුර බස් රථයේ ජින් බොනවා මට වයසයි
worry,පවර්පොයින්ට් එකක වැඩ කරන්න හැදුවත් ඵලක් වුණේ නැහැ
surprise,ඇඳේ වැතිර ඉන්නවා වේලාසන වැඩියි
worry,මගේ අම්මලා මට ඡන්දය දීම නවත්තලා දිනන්නේ නැති එක ගැන දැනෙන හැඟීම ඇති කරන්න හදනවා මම ඇඬුවා වගේ
worry,මම ටැකෝසෝන් ස්ථානයට ගොඩක් පරක්කු වෙලා හිටියා
neutral,ආව් ඔයා මාව අෆ්ලො කරන්නේ නැද්ද එහෙනම් මම අඬනවා
surprise,ඔයා දියවැඩියා රෝගියෙක් ඒ වගේම මගේ තාත්තා ඇම්ප් මටත් විශ්වාස නැහැ ඔයාට තාමත් දවස පුරාම සීනි කන්න අවසර තියෙනවද කියලා
love,මේක බේරගන්න බෑ කියලා මම හිතනවා
worry,ඇත්තටම මගේ සයිස් එකේ ඒවා ඉතුරු වෙලා නැහැ
happiness,මම ගොඩක් තනිකඩයන් සඳහා කුක් තේරීම් ගැන ඇත්තටම සතුටු නැහැ
empty,මට නිදාගන්න ඕනේ ඒත් මට මහන්සිත් නෑ
worry,මේ අසාත්මිකතා මට මේ අවුරුද්දේ කාලය කැමති නැහැ මේ නිසා මට කවදාවත් මේ ගැටලුව තිබුණේ නැහැ
worry,මේ අසාත්මිකතා මට මේ අවුරුද්දේ කාලය කැමති නැහැ මේ නිසා මට කවදාවත් මේ ගැටලුව තිබුණේ නැහැ
hate,මට සමාවෙන්න
sadness,කවුරුත් ඒක අල්ලගත්තා කියලා හිතුවේ නෑ
worry,තවදුරටත් කිසිදු අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
sadness,මට සමාවෙන්න අවම වශයෙන් සිකුරාදා
sadness,රස්සාවක් ගොඩක් ඕනේ
worry,හ්ම්ම්ම් බැහැ
sadness,මම නව ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළේ ඔවුන් නව ට්වීට් සඳහා ටයිප් කිරීමේ ගැටලුව විසඳනවා යැයි සිතමින් නමුත් ඔවුන් එසේ කළේ නැත
worry,කෙල්ලෙක් දැන් මගේ සිතුවිලි වල හරිම මොට කෙනෙක් දැන් මට ආතතිකාරක කිහිපයක් එක්ක නියම දවසක් ගත කළා ගෙදර එන්න
relief,මට කේන්ති යනවා එරිකා පස්සෙන් එන්න දෙන්නෙත් නෑ
neutral,සිකුරාදා රෑ ලයිට් වල පළවෙනි කතාමාලාවේ නියමුවා හරහා යන්න මම උත්සාහ කරනවා
sadness,මම නව ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළේ ඔවුන් නව ට්වීට් සඳහා ටයිප් කිරීමේ ගැටලුව විසඳනවා යැයි සිතමින් නමුත් ඔවුන් එසේ කළේ නැත
neutral,මක්නිසාද යත් එය තවමත් ලැජ්ජාවට පත් වී ඇත
worry,නැත්නම් මාස ගානක් ගෙදර පූසන්ව හෝදන්නේ නෑ උන්ට වතුර එපා වෙනවා
sadness,ඡන්දය දීම නවත්තලා කෙටිකතාවක් දිනන්නේ නැතුව ඉන්න එක ගැන මට තවත් දැනෙන්න දෙන්න මම ඇඬුවා වගේ
neutral,මෙන්න මගේ ශුභවාදී දේවල් අපි හැමෝටම හොඳ වේවි කියලා අහන්න ලැබීම ගැන මට කණගාටුයි
hate,මගේ අම්මලා මට ඡන්දෙ දෙන එක නවත්තලා දිනන්නේ නැති එක ගැන තවත් දැනෙන්න සලස්වන්න හදනවා මම ඇඬුවා වගේ
sadness,මට එයාගේ කොණ්ඩේ හැමෝම කොහොමද කියලා බලන්න ඕනේ
sadness,මම නෙට් එකට වෛර කරනවා
boredom,ඕහ් ඔයාට රහස කියන්න බෑ
neutral,මට දුකයි
neutral,සමලිංගිකයන්ට මම අද රෑ විතරයි හැදුවේ
worry,සමහර වෙලාවට මට හිතෙනවා පසුගිය ගිම්හානයේ ආරම්භය වගේ දේවල් ආයෙත් ගියොත් හොඳයි කියලා
neutral,තවදුරටත් අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
worry,මම සිකුරාදා නයිට් ලයිට් එකේ පළවෙනි කතාමාලාවේ නියමු කොටස හරහා යන්න උත්සාහ කරනවා
worry,ආහ් මම බලාපොරොත්තු වුණේ මට යන අතරමගදී දේවල් ටිකක් ඉගෙන ගන්න පුළුවන් වෙයි කියලා ඇයි ඔයායි මමයි වෙන වෙනම වැඩ කරන්නේ නැත්තේ ඒත්
worry,ඒක මට පිස්සු හැදෙනවා එරිකාට පස්සෙන් එන්න දෙන්නෙ නෑ
neutral,මට මිලදී ගන්න වෙලාවක් නැහැ මට අලුත් බයින්ඩර් එකක් ඕනේ
hate,කවුරුත් ඒක අල්ලගත්තේ නැහැ
relief,කිසිවෙකු යන්නේ නැහැ නයිට් එන්න පැය ගණනක් ගත වී ඇත
worry,අද මම ගෙදර ඉන්නවා මට ෆිල්ම් බලන්න බෑ
sadness,ඒක මෙහෙ නෑ මමයි තාත්තයි බෑග් පැක් කරනකොට දවල් ඉඳන් මට දාඩිය දාල නෑ
worry,ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි
neutral,ලෝහ ආම්පන්න ඝන ගීතය සොරකම් කළා කියලා මට විශ්වාස කරන්න බැහැ මම ගොඩක් කලකිරුණා
sadness,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක හොඳයි අන්තිමේදී බබා තමයි දුක් විඳින්නේ
hate,ගෙදරට ආපහු යනවා මොකද මම
worry,අද මම ගෙදර ඉන්නවා මට ෆිල්ම් බලන්න බෑ
worry,ගෑණු ළමයෙක් මගේ සිතුවිලි වල හරිම මෝඩයි
love,මට දැනෙනවා තවත් බල්ලෙක් නැහැ
neutral,අනේ ඔයාට රහස ගැන කියන්න බෑ
neutral,ගර්භනී කාන්තාවන් දුම්පානය කරනවා දකින විට මට වෛර කරනවා ඒක වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක සාද් අවසානයේ බබා දුක් විඳිනවා කියලා මට වෛර කරනවා
sadness,හ්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊඊයේ රස්සාවක් ඕන නෑ
happiness,යෝජනාව අගය කරනවා දැන් සතියක් වෙනවා තාමත් මුදල් ආපසු ඉල්ලන්න කාලයයි
hate,මම ඔට්ටු අල්ලනවා එස්ආර් එකේ සිසිල් වෙලා කියලා හහ් ඒක මෙතන නැහැ තාත්තයි මමයි බෑග් කරනකොට දවල් ඉඳන් මම දාඩිය දැම්මේ නැහැ
sadness,මම සිකුරාදා රෑ ලයිට් වල පළවෙනි කතාමාලාවේ නියමුවා හරහා යන්න හදනවා අනේ දෙවියනේ ටිෂූ එක පාස් කරන්න
surprise,ට්විටාස්කෝප් එක මගේ මේස් රොක් කරන්නේ නැහැ දැනටමත් යනවා
love,කෙල්ලෙක් දැන් මගේ සිතුවිලි වල හරිම මොට කෙනෙක් මට ආතතිය ඇති කරන දේවල් කිහිපයක් සමඟ නියම දවසක් ගත කළා ගෙදර එන්න
sadness,ගර්භනී කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක හොඳයි අන්තිමේදී බබා තමයි දුක් විඳින්නේ
worry,නෑ ඒගොල්ලෝ ඔක්කොම නිදාගන්නේ මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන්නේ
sadness,ඇඳේ වැතිර ඉන්නවා ගොඩක් කලින්
sadness,පසුගිය ගිම්හානයේ ආරම්භයේදී තිබුණු ආකාරයට දේවල් ආපසු යන්න මම කැමතියි
neutral,ඒක පැය ගණනක් තිස්සේ හොඳටම ඇති
sadness,එයා මැරුණා ඉන්න මැජික් ජැක් ගැන මොකද මම ඒක කියෙව්වා
worry,අනේ ඔයා කොහෙද යන්නේ
sadness,අඬනවා ඒත් මට මහන්සිත් නෑ
sadness,මට සමාවෙන්න මම කලින් වගේ පෙනුනත් මම අඩුම තරමින් එළියට වෙලා ඉන්නේ නැහැ
worry,මම වූඩූ ගමේ කොටසේ කෝප් එකේ අන්තිම කොටස් වෙනකම් සෙල්ලම් කළා මගේ සුපුරුදු සහකරු නැති වෙනකම්
sadness,ඒක තේරෙන්නේ නෑ
surprise,මට ඒක මග හැරුණා
worry,ටයිපින් ගැටලුව විසඳනවා කියලා හිතලා මම අලුත් ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළා අලුත් ට්වීට් වලට ඒත් නෑ නෑ
neutral,තාම බැටළු පැටවෙකු නොමැති වීම කණගාටුවට කරුණක්
sadness,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළ තීරයේ ජීවත් වෙනවා
worry,ඔයා කවදාවත් ඔයාගේ ඩීඑම් එකට උත්තර දුන්නේ නෑ මම ඔයාට තොරතුරු එව්වා
sadness,ගෙදර යන ගමන් බාල වයස්කාර ගැහැණු ළමයින් සමඟ ගනුදෙනුවක් කරනවා කෙගර්ස්ඩෑම් ගැන කතා කරන අතරතුර බස් රථයේ ජින් බොනවා මට වයසයි
neutral,මට සමාවෙන්න මම කලින් වගේ පෙනුන දේට සාපේක්ෂව මම පැත්තකට වෙලා ඉන්නේ නැහැ
sadness,අද රෑ ගෙදර ඉන්නවා
neutral,සුරතල් ගෙදරක ඉන්න අවුරුද්දක පැටියා මුළු පවුලටම ගොඩක් දුකෙන් මැරුණා
worry,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළ තීරයේ ජීවත් වෙනවා
neutral,මට මිලදී ගන්න වෙලාවක් නැහැ මට අලුත් බයින්ඩර් එකක් ඕනේ
sadness,මට සමාවෙන්න අවම වශයෙන් සිකුරාදා
neutral,ඒක ඉවර වෙන්න ඕන නෑ
worry,මොකද ගුවන් සේවා හරිම දුර්වලයි
sadness,ගර්භනී කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට වෛරයි
worry,මම මෙච්චර මහන්සියි
happiness,හිලින් එක්ක කාමරේ ඉන්න අයට සොම්බි ක්ලවුන් සීආර් එනකම් ඉන්න බෑ සති ගානක් යයි
sadness,ට්විටාස්කෝප් එක මගේ මේස් දැනටමත් රොක් කරන්නේ නැහැ
sadness,ඡන්දය දීම නවත්තලා කෙටිකතාවක් දිනන්නේ නැතුව ඉන්න එක ගැන මට තවත් දැනෙන්න දෙන්න මම ඇඬුවා වගේ
love,එය දීප්තිමත් විය ළඟපාත ගෑස් වැඩ අවසානයේ දැවැන්ත පිපිරීමක් සිදු විය
worry,මගේ වළලුකර උළුක්කු වුණා ඇත්තටම හොඳටම වගේ බඩු ටිකක් ඉරා දැම්මා ඒක රිදෙනවා අද මගේ උපන්දින සති අන්තය
worry,නයිට් නයිට් එය පැය ගණනක් ගත වී ඇත
hate,ඔයාලා යන එක ගැන මම කොච්චර උද්යෝගිමත්ද කියලා මම හිතුවා ඒත් ඊට පස්සේ මට තේරුණා ඔයාලා යනවා දකින්න කොච්චර දුකද කියලා
sadness,මට සමාවෙන්න මම කලින් වගේ පෙනුන දේට සාපේක්ෂව මම අඩුම තරමින් ඈත් වෙලා ඉන්නේ නැහැ
surprise,කේක් කෑල්ල අමතක වෙලා ගෙදර යනවා
worry,ගෑණු ළමයෙක් දැන් මගේ සිතුවිලි වල ඉන්නවා මට ආතතිකාරක කිහිපයක් සමඟ නියම දවසක් ගත කළා
worry,ඒ කුකීස් කන්න හොඳ නැහැ
worry,මට කිසිම දෙයක් කරන්න බෑ
hate,මට කේක් කෑල්ල අමතක වෙලා නිසා ගෙදර එන්න
worry,මගේ අම්මලා ඡන්දය දීම නවත්තලා කෙටිකතාවක් දිනන්නේ නැති එක ගැන මට දැනෙන්න සලස්වන්න උත්සාහ කරනවා මම ඇඬුවා වගේ
worry,මම එහෙම කළා ටැකෝසෝන් ස්ථානයට ගොඩක් පරක්කු වෙලා
neutral,හිටින්න ආවේ උදේ පාන්දර අන්තිම පරිච්ඡේදය කියවන්න කැමති නැති නිසා ඒක ඉවර වෙන්න මට ඕන නෑ
neutral,මගේ පොත හොයාගත්තා අද රෑ ඇත්ත කඩදාසි බැඳපු සඟරාවක් පටන් ගන්නකොට මගේ තොල් උඩින් කරදරකාරී ලපයක් තියෙනවා මට හර්පීස් තියෙනවා වගේ පේනවා
sadness,ඒක මාව අවුස්සනවා මට එරිකාට පස්සෙන් එන්න දෙන්නෙ නෑ
worry,ආපසු මුදල් නැහැ නමුත් ඔවුන් ගිණුම් ලබා ගන්නවා සතියක් වගේ යනවා සොරා හැක් භාවිතා කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
worry,සතිය ඒ විදියටම තිබුණේ නැහැ
neutral,ඊව් ඩේලි පැය ගණන්
worry,ආව් ඔයාට රහස ගැන මට කියන්න බැහැ
fun,අපි වෙනසට අකමැතියි ඒ නිසා අපි ජීවිත කාලය පුරාම රසිකයන් ඕ ඒ වෙනකොට අපි කොල්ලව මුණගැහිලා නැත්නම් මොකක් හරි දරුණු වැරැද්දක් වෙලා තියෙනවා
surprise,සමලිංගිකයින්ට මම අද රෑ විතරයි හැදුවේ
neutral,අනේ ඒක නවත්තන්න යාලුවනේ
sadness,පසුගිය ගිම්හානයේ ආරම්භයේදී තිබුණු ආකාරයට දේවල් ආපසු යන්න මම කැමතියි
neutral,මම ආපහු එන්නම් මගේ සුභ පැතුම් දෙන්න
sadness,කරන්න කිසිම දෙයක් නැහැ
worry,බර්නෙට් එළියට එනවා කිසිවෙකු යන්නේ නැති උතුරට යන එක
worry,මම ටැකෝසෝන් තැනට ගොඩක් පරක්කු වෙලා හිටියා
worry,අසනීපයි
sadness,මට ඔයාව හැමදාම ඕන කියලා ඔයා කොහොමද ඒත්තු ගන්නේ මම හැමදාම දුන්න සංඥා මොනවද කියලා මම හිතන්නේ මට තව යාළුවෙක් නැති වුණා කියලා
sadness,අනේ මම හිතන්නේ මේක එහෙමයි ගොඩ ගන්න බෑ
empty,මම දන්නවා මම කලින් නරක පුරුද්දකට ඇහුම්කන් දුන්නා කියලා මම එයාගේ කොටසට බය වෙන්න පටන් ගත්තා
happiness,තාම බැටළු පැටවෙක් නැති එක කණගාටුවට කරුණක්
worry,අනේ හරිම නරකයි මම හිතනවා ඒක හොඳ වෙයි කියලා මම හිතනවා මෑතකදී මට නින්දේ ගැටළු ඇති වුණා
hate,ඊව් ඩේලි
hate,හෙට වැඩ කරන්න ඕන නෑ නමුත් මට සල්ලි ලැබෙනවා
love,අනේ නයිට් දැන් පැයකට වඩා වැඩියි
surprise,සමලිංගිකයන් සඳහා මම අද රෑ විතරයි හැදුවේ
worry,ඇත්තටම නිදිමත නැහැ කම්මැලියි ඒක තමයි හරි වචනය
sadness,පසුගිය ගිම්හානයේ ආරම්භයේදී තිබුණු ආකාරයට දේවල් ආපසු යන්න මම කැමතියි
sadness,ම්ම් ඔව් ඒක මටම කියන්න හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊඊඊඊ
enthusiasm,මට ගේම් එක මග හැරුණා
neutral,ඒ නිසා ඔයාට නටන්න පුළුවන් කියලා හිතනවා
sadness,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළ තීරයේ ජීවත් වෙන්නේ
worry,මම හොඳ නම්
happiness,හිලින් එක්ක කාමරේ ඉන්න අයට සොම්බි ක්ලවුන් සීආර් එනකම් ඉන්න බෑ සති ගානක් යයි
worry,දැන් මට ඉරුවාරදය නවත්තන්න ඕන
enthusiasm,මම ඔර්ලන්ඩ් එකට යන්නම්
sadness,අනේ නයිට් පැය ගානක් ගියා
neutral,ඇත්තටම නිදිමත නෑ කම්මැලියි කියන එක තමයි හරි වචනය ආයෙත් එච්චර වැඩක් නෑ
sadness,එක පාරක් හහා දුප්පත් අබී තාමත් රිදෙනවා
neutral,අපි හැමෝටම හොඳ වෙයි කියලා අහන්න ලැබීම ගැන මට කණගාටුයි
neutral,ඔහ් ගිගුරුම් සහිත වැස්සක් ඇයි එයාලා හැම විටම විදුලිය විසන්ධි කරන්න ඕනේ
relief,ගැහැණු ළමයෙක් මොට කෙනෙක් දැන් මගේ සිතුවිලි වල හරිම අපූරු දවසක් තිබුණා ආතතිය ඇති කරන දේවල් කිහිපයක් එක්ක ගෙදර එන්න
worry,හරිම කරකැවිල්ලක් දැනෙනවා
worry,අද ඉඳන් සංචාරකයින් සඳහා එපිසෙන්ටර් වීලොක් ස්ථාන ඒකක ඇම්ප්
sadness,මුදල් ආපසු ගෙවීමක් නැත නමුත් ඔවුන් ගිණුම් ලබා ගැනීමට සතියක් වගේ කාලයක් ගත වෙනවා සොරා හැක් භාවිතා කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
worry,මුදල් ආපසු ගෙවීමක් නැහැ නමුත් ඔවුන් ගිණුම් නැවත ලබා ගන්නවා සොරා හැක් භාවිතා කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
neutral,මම නිදාගන්න කියලා හිතාගෙන ඉන්නවා
hate,ආ හැමෝටම ඇරෝයෝ පවුල වෙනුවෙන් යාච්ඤා කරන්න
sadness,අනේ කමක් නැහැ මම හිතන්නේ මේක බේරගන්න බෑ
happiness,කවුරුත් ඒක අල්ලගත්තේ නැහැ
neutral,මට කේක් කෑල්ල අමතක වෙලා නිසා ගෙදර ආපහු යනවා
sadness,ඔව් සුෂි කන්න පිනොචියෝස් වලට යන්න ටිකක් දුර වැඩියි
